cohort,dist,a,b,same_individual
GCN,4,фото тритонов из похожего проекта/Raw_Data/66/IMG_3763.JPEG,фото тритонов из похожего проекта/Raw_Data/66/IMG_3764.JPEG,True
GCN,2,фото тритонов из похожего проекта/Raw_Data/66/IMG_3766.JPEG,фото тритонов из похожего проекта/Raw_Data/66/IMG_3767.JPEG,True
GCN,4,фото тритонов из похожего проекта/Raw_Data/66/IMG_3769.JPEG,фото тритонов из похожего проекта/Raw_Data/66/IMG_3770.JPEG,True
GCN,6,фото тритонов из похожего проекта/Raw_Data/66/IMG_3769.JPEG,фото тритонов из похожего проекта/Raw_Data/66/IMG_3771.JPEG,True
GCN,2,фото тритонов из похожего проекта/Raw_Data/66/IMG_3769.JPEG,фото тритонов из похожего проекта/Raw_Data/66/IMG_3772.JPEG,True
GCN,2,фото тритонов из похожего проекта/Raw_Data/66/IMG_3770.JPEG,фото тритонов из похожего проекта/Raw_Data/66/IMG_3771.JPEG,True
GCN,4,фото тритонов из похожего проекта/Raw_Data/66/IMG_3770.JPEG,фото тритонов из похожего проекта/Raw_Data/66/IMG_3772.JPEG,True
GCN,4,фото тритонов из похожего проекта/Raw_Data/66/IMG_3771.JPEG,фото тритонов из похожего проекта/Raw_Data/66/IMG_3772.JPEG,True
GCN,2,фото тритонов из похожего проекта/Raw_Data/67/IMG_3777.JPEG,фото тритонов из похожего проекта/Raw_Data/67/IMG_3778.JPEG,True
GCN,6,фото тритонов из похожего проекта/Raw_Data/67/IMG_3779.JPEG,фото тритонов из похожего проекта/Raw_Data/67/IMG_3780.JPEG,True
GCN,4,фото тритонов из похожего проекта/Raw_Data/69/IMG_3789.JPEG,фото тритонов из похожего проекта/Raw_Data/69/IMG_3790.JPEG,True
GCN,2,фото тритонов из похожего проекта/Raw_Data/69/IMG_3789.JPEG,фото тритонов из похожего проекта/Raw_Data/69/IMG_3791.JPEG,True
GCN,4,фото тритонов из похожего проекта/Raw_Data/69/IMG_3789.JPEG,фото тритонов из похожего проекта/Raw_Data/69/IMG_3792.JPEG,True
GCN,2,фото тритонов из похожего проекта/Raw_Data/69/IMG_3790.JPEG,фото тритонов из похожего проекта/Raw_Data/69/IMG_3791.JPEG,True
GCN,6,фото тритонов из похожего проекта/Raw_Data/69/IMG_3790.JPEG,фото тритонов из похожего проекта/Raw_Data/69/IMG_3792.JPEG,True
GCN,4,фото тритонов из похожего проекта/Raw_Data/69/IMG_3791.JPEG,фото тритонов из похожего проекта/Raw_Data/69/IMG_3792.JPEG,True
GCN,4,фото тритонов из похожего проекта/Raw_Data/68/IMG_3810.JPEG,фото тритонов из похожего проекта/Raw_Data/68/IMG_3811.JPEG,True
GCN,6,фото тритонов из похожего проекта/Raw_Data/68/IMG_3810.JPEG,фото тритонов из похожего проекта/Raw_Data/68/IMG_3812.JPEG,True
GCN,2,фото тритонов из похожего проекта/Raw_Data/68/IMG_3811.JPEG,фото тритонов из похожего проекта/Raw_Data/68/IMG_3812.JPEG,True
GCN,4,фото тритонов из похожего проекта/Raw_Data/68/IMG_3813.JPEG,фото тритонов из похожего проекта/Raw_Data/68/IMG_3814.JPEG,True
GCN,6,фото тритонов из похожего проекта/Raw_Data/68/IMG_3813.JPEG,фото тритонов из похожего проекта/Raw_Data/68/IMG_3815.JPEG,True
GCN,4,фото тритонов из похожего проекта/Raw_Data/68/IMG_3814.JPEG,фото тритонов из похожего проекта/Raw_Data/68/IMG_3815.JPEG,True
GCN,6,фото тритонов из похожего проекта/Raw_Data/75/IMG_3819.JPEG,фото тритонов из похожего проекта/Raw_Data/75/IMG_3820.JPEG,True
GCN,6,фото тритонов из похожего проекта/Raw_Data/76/IMG_3834.JPEG,фото тритонов из похожего проекта/Raw_Data/76/IMG_3835.JPEG,True
GCN,2,фото тритонов из похожего проекта/Raw_Data/76/IMG_3836.JPEG,фото тритонов из похожего проекта/Raw_Data/76/IMG_3837.JPEG,True
GCN,2,фото тритонов из похожего проекта/Raw_Data/76/IMG_3842.JPEG,фото тритонов из похожего проекта/Raw_Data/76/IMG_3843.JPEG,True
GCN,6,фото тритонов из похожего проекта/Raw_Data/74/IMG_3850.JPEG,фото тритонов из похожего проекта/Raw_Data/74/IMG_3851.JPEG,True
GCN,4,фото тритонов из похожего проекта/Raw_Data/74/IMG_3850.JPEG,фото тритонов из похожего проекта/Raw_Data/74/IMG_3852.JPEG,True
GCN,6,фото тритонов из похожего проекта/Raw_Data/74/IMG_3851.JPEG,фото тритонов из похожего проекта/Raw_Data/74/IMG_3852.JPEG,True
GCN,6,фото тритонов из похожего проекта/Raw_Data/72/IMG_3860.JPEG,фото тритонов из похожего проекта/Raw_Data/72/IMG_3862.JPEG,True
GCN,2,фото тритонов из похожего проекта/Raw_Data/72/IMG_3861.JPEG,фото тритонов из похожего проекта/Raw_Data/72/IMG_3862.JPEG,True
GCN,6,фото тритонов из похожего проекта/Raw_Data/72/IMG_3864.JPEG,фото тритонов из похожего проекта/Raw_Data/72/IMG_3865.JPEG,True
GCN,6,фото тритонов из похожего проекта/Raw_Data/72/IMG_3868.JPEG,фото тритонов из похожего проекта/Raw_Data/72/IMG_3869.JPEG,True
GCN,6,фото тритонов из похожего проекта/Raw_Data/72/IMG_3869.JPEG,фото тритонов из похожего проекта/Raw_Data/80/IMG_3941.JPEG,False
GCN,6,фото тритонов из похожего проекта/Raw_Data/72/IMG_3869.JPEG,фото тритонов из похожего проекта/Raw_Data/80/IMG_3942.JPEG,False
GCN,2,фото тритонов из похожего проекта/Raw_Data/71/IMG_3877.JPEG,фото тритонов из похожего проекта/Raw_Data/71/IMG_3879.JPEG,True
GCN,4,фото тритонов из похожего проекта/Raw_Data/71/IMG_3880.JPEG,фото тритонов из похожего проекта/Raw_Data/71/IMG_3881.JPEG,True
GCN,4,фото тритонов из похожего проекта/Raw_Data/71/IMG_3881.JPEG,фото тритонов из похожего проекта/Raw_Data/71/IMG_3882.JPEG,True
GCN,4,фото тритонов из похожего проекта/Raw_Data/71/IMG_3881.JPEG,фото тритонов из похожего проекта/Raw_Data/71/IMG_3883.JPEG,True
GCN,0,фото тритонов из похожего проекта/Raw_Data/71/IMG_3882.JPEG,фото тритонов из похожего проекта/Raw_Data/71/IMG_3883.JPEG,True
GCN,6,фото тритонов из похожего проекта/Raw_Data/78/IMG_3891.JPEG,фото тритонов из похожего проекта/Raw_Data/78/IMG_3892.JPEG,True
GCN,2,фото тритонов из похожего проекта/Raw_Data/78/IMG_3895.JPEG,фото тритонов из похожего проекта/Raw_Data/78/IMG_3896.JPEG,True
GCN,6,фото тритонов из похожего проекта/Raw_Data/78/IMG_3895.JPEG,фото тритонов из похожего проекта/Raw_Data/78/IMG_3897.JPEG,True
GCN,4,фото тритонов из похожего проекта/Raw_Data/78/IMG_3896.JPEG,фото тритонов из похожего проекта/Raw_Data/78/IMG_3897.JPEG,True
GCN,0,фото тритонов из похожего проекта/Raw_Data/79/IMG_3906.JPEG,фото тритонов из похожего проекта/Raw_Data/79/IMG_3907.JPEG,True
GCN,2,фото тритонов из похожего проекта/Raw_Data/79/IMG_3906.JPEG,фото тритонов из похожего проекта/Raw_Data/79/IMG_3908.JPEG,True
GCN,2,фото тритонов из похожего проекта/Raw_Data/79/IMG_3907.JPEG,фото тритонов из похожего проекта/Raw_Data/79/IMG_3908.JPEG,True
GCN,2,фото тритонов из похожего проекта/Raw_Data/79/IMG_3909.JPEG,фото тритонов из похожего проекта/Raw_Data/79/IMG_3911.JPEG,True
GCN,2,фото тритонов из похожего проекта/Raw_Data/79/IMG_3909.JPEG,фото тритонов из похожего проекта/Raw_Data/79/IMG_3912.JPEG,True
GCN,0,фото тритонов из похожего проекта/Raw_Data/79/IMG_3911.JPEG,фото тритонов из похожего проекта/Raw_Data/79/IMG_3912.JPEG,True
GCN,2,фото тритонов из похожего проекта/Raw_Data/73/IMG_3918.JPEG,фото тритонов из похожего проекта/Raw_Data/73/IMG_3919.JPEG,True
GCN,4,фото тритонов из похожего проекта/Raw_Data/73/IMG_3918.JPEG,фото тритонов из похожего проекта/Raw_Data/73/IMG_3920.JPEG,True
GCN,0,фото тритонов из похожего проекта/Raw_Data/73/IMG_3918.JPEG,фото тритонов из похожего проекта/Raw_Data/73/IMG_3921.JPEG,True
GCN,2,фото тритонов из похожего проекта/Raw_Data/73/IMG_3919.JPEG,фото тритонов из похожего проекта/Raw_Data/73/IMG_3920.JPEG,True
GCN,2,фото тритонов из похожего проекта/Raw_Data/73/IMG_3919.JPEG,фото тритонов из похожего проекта/Raw_Data/73/IMG_3921.JPEG,True
GCN,4,фото тритонов из похожего проекта/Raw_Data/73/IMG_3920.JPEG,фото тритонов из похожего проекта/Raw_Data/73/IMG_3921.JPEG,True
GCN,2,фото тритонов из похожего проекта/Raw_Data/73/IMG_3922.JPEG,фото тритонов из похожего проекта/Raw_Data/73/IMG_3923.JPEG,True
GCN,2,фото тритонов из похожего проекта/Raw_Data/73/IMG_3922.JPEG,фото тритонов из похожего проекта/Raw_Data/73/IMG_3924.JPEG,True
GCN,2,фото тритонов из похожего проекта/Raw_Data/73/IMG_3922.JPEG,фото тритонов из похожего проекта/Raw_Data/73/IMG_3925.JPEG,True
GCN,4,фото тритонов из похожего проекта/Raw_Data/73/IMG_3922.JPEG,фото тритонов из похожего проекта/Raw_Data/73/IMG_3926.JPEG,True
GCN,0,фото тритонов из похожего проекта/Raw_Data/73/IMG_3923.JPEG,фото тритонов из похожего проекта/Raw_Data/73/IMG_3924.JPEG,True
GCN,0,фото тритонов из похожего проекта/Raw_Data/73/IMG_3923.JPEG,фото тритонов из похожего проекта/Raw_Data/73/IMG_3925.JPEG,True
GCN,2,фото тритонов из похожего проекта/Raw_Data/73/IMG_3923.JPEG,фото тритонов из похожего проекта/Raw_Data/73/IMG_3926.JPEG,True
GCN,0,фото тритонов из похожего проекта/Raw_Data/73/IMG_3924.JPEG,фото тритонов из похожего проекта/Raw_Data/73/IMG_3925.JPEG,True
GCN,2,фото тритонов из похожего проекта/Raw_Data/73/IMG_3924.JPEG,фото тритонов из похожего проекта/Raw_Data/73/IMG_3926.JPEG,True
GCN,2,фото тритонов из похожего проекта/Raw_Data/73/IMG_3925.JPEG,фото тритонов из похожего проекта/Raw_Data/73/IMG_3926.JPEG,True
GCN,6,фото тритонов из похожего проекта/Raw_Data/73/IMG_3930.JPEG,фото тритонов из похожего проекта/Raw_Data/73/IMG_3931.JPEG,True
GCN,0,фото тритонов из похожего проекта/Raw_Data/80/IMG_3935.JPEG,фото тритонов из похожего проекта/Raw_Data/80/IMG_3936.JPEG,True
GCN,4,фото тритонов из похожего проекта/Raw_Data/80/IMG_3935.JPEG,фото тритонов из похожего проекта/Raw_Data/80/IMG_3937.JPEG,True
GCN,4,фото тритонов из похожего проекта/Raw_Data/80/IMG_3936.JPEG,фото тритонов из похожего проекта/Raw_Data/80/IMG_3937.JPEG,True
GCN,4,фото тритонов из похожего проекта/Raw_Data/80/IMG_3937.JPEG,фото тритонов из похожего проекта/Raw_Data/80/IMG_3938.JPEG,True
GCN,2,фото тритонов из похожего проекта/Raw_Data/80/IMG_3939.JPEG,фото тритонов из похожего проекта/Raw_Data/80/IMG_3940.JPEG,True
GCN,4,фото тритонов из похожего проекта/Raw_Data/80/IMG_3939.JPEG,фото тритонов из похожего проекта/Raw_Data/80/IMG_3941.JPEG,True
GCN,4,фото тритонов из похожего проекта/Raw_Data/80/IMG_3939.JPEG,фото тритонов из похожего проекта/Raw_Data/80/IMG_3942.JPEG,True
GCN,4,фото тритонов из похожего проекта/Raw_Data/80/IMG_3940.JPEG,фото тритонов из похожего проекта/Raw_Data/80/IMG_3941.JPEG,True
GCN,4,фото тритонов из похожего проекта/Raw_Data/80/IMG_3940.JPEG,фото тритонов из похожего проекта/Raw_Data/80/IMG_3942.JPEG,True
GCN,0,фото тритонов из похожего проекта/Raw_Data/80/IMG_3941.JPEG,фото тритонов из похожего проекта/Raw_Data/80/IMG_3942.JPEG,True
GCN,6,фото тритонов из похожего проекта/Raw_Data/77/IMG_3950.JPEG,фото тритонов из похожего проекта/Raw_Data/77/IMG_3951.JPEG,True
GCN,4,фото тритонов из похожего проекта/Raw_Data/77/IMG_3950.JPEG,фото тритонов из похожего проекта/Raw_Data/77/IMG_3952.JPEG,True
GCN,2,фото тритонов из похожего проекта/Raw_Data/77/IMG_3951.JPEG,фото тритонов из похожего проекта/Raw_Data/77/IMG_3952.JPEG,True
GCN,0,фото тритонов из похожего проекта/Raw_Data/77/IMG_3953.JPEG,фото тритонов из похожего проекта/Raw_Data/77/IMG_3954.JPEG,True
GCN,2,фото тритонов из похожего проекта/Raw_Data/77/IMG_3953.JPEG,фото тритонов из похожего проекта/Raw_Data/77/IMG_3955.JPEG,True
GCN,4,фото тритонов из похожего проекта/Raw_Data/77/IMG_3953.JPEG,фото тритонов из похожего проекта/Raw_Data/77/IMG_3956.JPEG,True
GCN,2,фото тритонов из похожего проекта/Raw_Data/77/IMG_3954.JPEG,фото тритонов из похожего проекта/Raw_Data/77/IMG_3955.JPEG,True
GCN,4,фото тритонов из похожего проекта/Raw_Data/77/IMG_3954.JPEG,фото тритонов из похожего проекта/Raw_Data/77/IMG_3956.JPEG,True
GCN,2,фото тритонов из похожего проекта/Raw_Data/77/IMG_3955.JPEG,фото тритонов из похожего проекта/Raw_Data/77/IMG_3956.JPEG,True
GCN,4,фото тритонов из похожего проекта/Raw_Data/77/IMG_3959.JPEG,фото тритонов из похожего проекта/Raw_Data/77/IMG_3960.JPEG,True
PW,2,Ребристый тритон 1 и 2 датасеты/3/03-02 (2).JPG,Ребристый тритон 1 и 2 датасеты/3/03-02 (3).JPG,True
PW,4,Ребристый тритон 1 и 2 датасеты/3/03-02 (2).JPG,Ребристый тритон 1 и 2 датасеты/3/03-02 (4).JPG,True
PW,4,Ребристый тритон 1 и 2 датасеты/3/03-02 (3).JPG,Ребристый тритон 1 и 2 датасеты/3/03-02 (4).JPG,True
PW,6,Ребристый тритон 1 и 2 датасеты/4/04-02 (2).JPG,Ребристый тритон 1 и 2 датасеты/4/04-02 (3).JPG,True
PW,6,Ребристый тритон 1 и 2 датасеты/7/07-02 (2).JPG,Ребристый тритон 1 и 2 датасеты/7/07-02 (3).JPG,True
PW,4,Ребристый тритон 1 и 2 датасеты/8/08-02 (3).JPG,Ребристый тритон 1 и 2 датасеты/8/08-02 (4).JPG,True
PW,4,Ребристый тритон 1 и 2 датасеты/10/10-02 (2).JPG,Ребристый тритон 1 и 2 датасеты/10/10-02 (3).JPG,True
PW,6,Ребристый тритон 1 и 2 датасеты/11/11-02 (1).JPG,Ребристый тритон 1 и 2 датасеты/11/11-02 (2).JPG,True
PW,6,Ребристый тритон 1 и 2 датасеты/12/12-02 (2).JPG,Ребристый тритон 1 и 2 датасеты/12/12-02 (3).JPG,True
PW,4,Ребристый тритон 1 и 2 датасеты/13/13-02 (1).JPG,Ребристый тритон 1 и 2 датасеты/13/13-02 (2).JPG,True
PW,6,Ребристый тритон 1 и 2 датасеты/14/14-02 (2).JPG,Ребристый тритон 1 и 2 датасеты/14/14-02 (3).JPG,True
PW,6,Ребристый тритон 1 и 2 датасеты/17/17-01 (4).JPG,Ребристый тритон 1 и 2 датасеты/17/17-01 (5).JPG,True
PW,6,Ребристый тритон 1 и 2 датасеты/18/18-02 (2).JPG,Ребристый тритон 1 и 2 датасеты/18/18-02 (4).JPG,True
PW,6,Ребристый тритон 1 и 2 датасеты/21/21-02 (2).JPG,Ребристый тритон 1 и 2 датасеты/21/21-02 (3).JPG,True
PW,6,Ребристый тритон 1 и 2 датасеты/22/22-01 (3).JPG,Ребристый тритон 1 и 2 датасеты/22/22-01 (5).JPG,True
PW,2,Ребристый тритон 1 и 2 датасеты/22/22-01 (4).JPG,Ребристый тритон 1 и 2 датасеты/22/22-01 (5).JPG,True
PW,4,Ребристый тритон 1 и 2 датасеты/22/22-02 (2).JPG,Ребристый тритон 1 и 2 датасеты/22/22-02 (3).JPG,True
PW,6,Ребристый тритон 1 и 2 датасеты/23/23-02 (1).JPG,Ребристый тритон 1 и 2 датасеты/23/23-02 (2).JPG,True
PW,6,Ребристый тритон 1 и 2 датасеты/24/24-01 (3).JPG,Ребристый тритон 1 и 2 датасеты/24/24-01 (4).JPG,True
PW,6,Ребристый тритон 1 и 2 датасеты/24/24-02 (3).JPG,Ребристый тритон 1 и 2 датасеты/24/24-02 (4).JPG,True
PW,4,Ребристый тритон 1 и 2 датасеты/26/26-02 (2).JPG,Ребристый тритон 1 и 2 датасеты/26/26-02 (3).JPG,True
PW,6,Ребристый тритон 1 и 2 датасеты/26/26-02 (2).JPG,Ребристый тритон 1 и 2 датасеты/26/26-02 (4).JPG,True
PW,6,Ребристый тритон 1 и 2 датасеты/26/26-02 (3).JPG,Ребристый тритон 1 и 2 датасеты/26/26-02 (4).JPG,True
PW,6,Ребристый тритон 1 и 2 датасеты/27/27-02 (2).JPG,Ребристый тритон 1 и 2 датасеты/27/27-02 (3).JPG,True
TK,4,TK data тритоны/7/07-02-0125.JPG,TK data тритоны/7/Дополнительные фото от 0125/IMG_0884.JPG,True
TK,4,TK data тритоны/35/35-02-0125.JPG,TK data тритоны/35/Дополнительные фото от 0125/IMG_1023.JPG,True
TK,6,TK data тритоны/13/Дополнительные фото от 0125/IMG_0849.JPG,TK data тритоны/13/Дополнительные фото от 0125/IMG_0850.JPG,True
TK,6,TK data тритоны/4/Дополнительные фото от 0125/IMG_0860.JPG,TK data тритоны/4/Дополнительные фото от 0125/IMG_0861.JPG,True
TK,6,TK data тритоны/4/Дополнительные фото от 0125/IMG_0860.JPG,TK data тритоны/4/Дополнительные фото от 0125/IMG_0862.JPG,True
TK,4,TK data тритоны/7/Дополнительные фото от 0125/IMG_0881.JPG,TK data тритоны/7/Дополнительные фото от 0125/IMG_0882.JPG,True
TK,6,TK data тритоны/27/Дополнительные фото от 0125/IMG_1002.JPG,TK data тритоны/27/Дополнительные фото от 0125/IMG_1003.JPG,True
TK,6,TK data тритоны/31/Дополнительные фото от 0125/IMG_1040.JPG,TK data тритоны/31/Дополнительные фото от 0125/IMG_1041.JPG,True
TK,6,TK data тритоны/24/Дополнительные фото от 0125/IMG_1044.JPG,TK data тритоны/24/Дополнительные фото от 0125/IMG_1045.JPG,True
TK,4,TK data тритоны/23/Дополнительные фото от 0125/IMG_1054.JPG,TK data тритоны/23/Дополнительные фото от 0125/IMG_1055.JPG,True
TK,6,TK data тритоны/36/Дополнительные фото от 0125/IMG_1059.JPG,TK data тритоны/36/Дополнительные фото от 0125/IMG_1060.JPG,True
TK,4,TK data тритоны/65/Дополнительные фото от 0125/IMG_1129.JPG,TK data тритоны/65/Дополнительные фото от 0125/IMG_1130.JPG,True
TK,4,TK data тритоны/62/Дополнительные фото от 0125/IMG_1143.JPG,TK data тритоны/62/Дополнительные фото от 0125/IMG_1144.JPG,True
